ID	gene.symbol.x	chebi.identifier	chebi.name	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
R-MMU-5696394	CUL4B	CHEBI:61120	Distorted dsDNA	CUL4B_CHEBI:61120	sp|A2A432|CUL4B_MOUSE	CUL4B	protein	CDP-ethanolamine	metabolite	-0.332086691919766	1.48623559441674e-5	163	0.00260734838199521	CUL4B_CDP-ethanolamine	CDP-ethanolamine	CHEBI:16732	primary	48	CHEBI:61120	20	nucleobase-containing molecular entity	CUL4B_CDP-ethanolamine_CHEBI:61120	Reactome
R-MMU-5696395	CUL4B	CHEBI:61120	Distorted dsDNA	CUL4B_CHEBI:61120	sp|A2A432|CUL4B_MOUSE	CUL4B	protein	CDP-ethanolamine	metabolite	-0.332086691919766	1.48623559441674e-5	163	0.00260734838199521	CUL4B_CDP-ethanolamine	CDP-ethanolamine	CHEBI:16732	primary	48	CHEBI:61120	20	nucleobase-containing molecular entity	CUL4B_CDP-ethanolamine_CHEBI:61120	Reactome
R-MMU-5696400	CUL4B	CHEBI:61120	damaged DNA with open bubble structure	CUL4B_CHEBI:61120	sp|A2A432|CUL4B_MOUSE	CUL4B	protein	CDP-ethanolamine	metabolite	-0.332086691919766	1.48623559441674e-5	163	0.00260734838199521	CUL4B_CDP-ethanolamine	CDP-ethanolamine	CHEBI:16732	primary	48	CHEBI:61120	20	nucleobase-containing molecular entity	CUL4B_CDP-ethanolamine_CHEBI:61120	Reactome
R-MMU-2173795	SMURF2	CHEBI:17154	NAM	SMURF2_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2173795	SMURF2	CHEBI:57540	NAD+	SMURF2_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8849932	PTPRF	CHEBI:29985	L-Glu	PTPRF_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	TBC1D16	CHEBI:17552	GDP	TBC1D16_CHEBI:17552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	TBC1D16	CHEBI:58189	GDP	TBC1D16_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-173599	SLC35D1	CHEBI:57540	NAD+	SLC35D1_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-173599	SLC35D1	CHEBI:58052	UDP-GlcA	SLC35D1_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-727802	SLC35D1	CHEBI:58052	UDP-GlcA	SLC35D1_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-727802	SLC35D1	CHEBI:60377	CMP	SLC35D1_CHEBI:60377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-727802	SLC35D1	CHEBI:66914	UDP-Gal	SLC35D1_CHEBI:66914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-190840	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-437239	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5617833	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5626467	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-6811436	TUBB1	CHEBI:35366	fatty acid	TUBB1_CHEBI:35366	sp|A2AQ07|TBB1_MOUSE	TUBB1	protein	Butyric acid	metabolite	0.333279104009232	1.37874087937639e-5	163	0.00247216685697853	TUBB1_Butyric acid	butyric acid	CHEBI:30772	primary	33	CHEBI:35366	27	fatty acid	TUBB1_Butyric acid_CHEBI:35366	Reactome
R-MMU-6811436	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8955332	TUBB1	CHEBI:29985	L-Glu	TUBB1_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8955332	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9646399	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9668328	TUBB1	CHEBI:58189	GDP	TUBB1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-351143	AGMAT	CHEBI:32682	L-Arg	AGMAT_CHEBI:32682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1971475	AGRN	CHEBI:58052	UDP-GlcA	AGRN_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1971475	AGRN	CHEBI:66914	UDP-Gal	AGRN_CHEBI:66914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2022928	AGRN	CHEBI:58052	UDP-GlcA	AGRN_CHEBI:58052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2022928	AGRN	CHEBI:58343	PAP	AGRN_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2024096	AGRN	CHEBI:28061	Gal	AGRN_CHEBI:28061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2024096	AGRN	CHEBI:29991	L-Asp	AGRN_CHEBI:29991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-2024096	AGRN	CHEBI:4178	GlcA	AGRN_CHEBI:4178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:15361	PYR	DHTKD1_CHEBI:15361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:16995	OX	DHTKD1_CHEBI:16995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:29991	L-Asp	DHTKD1_CHEBI:29991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:57433	SARC	DHTKD1_CHEBI:57433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:57540	NAD+	DHTKD1_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:57844	L-Met	DHTKD1_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:57856	AdoHcy	DHTKD1_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:57972	L-Ala	DHTKD1_CHEBI:57972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-389661	DHTKD1	CHEBI:58937	TDP	DHTKD1_CHEBI:58937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	RABGAP1	CHEBI:17552	GDP	RABGAP1_CHEBI:17552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-8854214	RABGAP1	CHEBI:58189	GDP	RABGAP1_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-947581	MOCS3	CHEBI:35235	L-Cys	MOCS3_CHEBI:35235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-947581	MOCS3	CHEBI:456215	AMP	MOCS3_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-947581	MOCS3	CHEBI:57844	L-Met	MOCS3_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-947581	MOCS3	CHEBI:57972	L-Ala	MOCS3_CHEBI:57972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-3214858	ARID1A	CHEBI:57856	AdoHcy	ARID1A_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-3928662	KALRN	CHEBI:17552	GDP	KALRN_CHEBI:17552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-3928662	KALRN	CHEBI:29985	L-Glu	KALRN_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-3928662	KALRN	CHEBI:58189	GDP	KALRN_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156590	MGST2	CHEBI:16856	GSH	MGST2_CHEBI:16856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156590	MGST2	CHEBI:57925	GSH	MGST2_CHEBI:57925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5423646	MGST2	CHEBI:29985	L-Glu	MGST2_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-5423646	MGST2	CHEBI:57925	GSH	MGST2_CHEBI:57925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:16810	2OG	HYKK_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:29985	L-Glu	HYKK_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:32551	L-Lys	HYKK_CHEBI:32551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:57540	NAD+	HYKK_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:58189	GDP	HYKK_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:58672	2AMA	HYKK_CHEBI:58672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:58937	TDP	HYKK_CHEBI:58937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-71064	HYKK	CHEBI:61185	PPCA	HYKK_CHEBI:61185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:15361	PYR	TYW5_CHEBI:15361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:16680	AdoHcy	TYW5_CHEBI:16680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:16810	2OG	TYW5_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:17509	MTAD	TYW5_CHEBI:17509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:30031	SUCCA	TYW5_CHEBI:30031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:57844	L-Met	TYW5_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6782861	TYW5	CHEBI:57856	AdoHcy	TYW5_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6787639	FUOM	CHEBI:42548	alpha-Fuc	FUOM_CHEBI:42548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-6787639	FUOM	CHEBI:42589	beta-Fuc	FUOM_CHEBI:42589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-112043	PLCB2	CHEBI:58189	GDP	PLCB2_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-4086398	PLCB2	CHEBI:58189	GDP	PLCB2_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-434316	PLCB2	CHEBI:15756	PALM	PLCB2_CHEBI:15756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-434316	PLCB2	CHEBI:16196	OLEA	PLCB2_CHEBI:16196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-434316	PLCB2	CHEBI:17552	GDP	PLCB2_CHEBI:17552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-434316	PLCB2	CHEBI:30805	DDCX	PLCB2_CHEBI:30805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-434316	PLCB2	CHEBI:58189	GDP	PLCB2_CHEBI:58189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-500657	PLCB2	CHEBI:29985	L-Glu	PLCB2_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-429947	CNOT1	CHEBI:456215	AMP	CNOT1_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-9820841	CNOT1	CHEBI:456215	AMP	CNOT1_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:16335	Ade-Rib	MTR_CHEBI:16335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:57540	NAD+	MTR_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:57844	L-Met	MTR_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:57856	AdoHcy	MTR_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:57925	GSH	MTR_CHEBI:57925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-156581	MTR	CHEBI:58297	GSSG	MTR_CHEBI:58297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1614635	MTR	CHEBI:16335	Ade-Rib	MTR_CHEBI:16335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1614635	MTR	CHEBI:57540	NAD+	MTR_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1614635	MTR	CHEBI:57844	L-Met	MTR_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-1614635	MTR	CHEBI:57856	AdoHcy	MTR_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9759218	MTR	CHEBI:57540	NAD+	MTR_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9759218	MTR	CHEBI:57844	L-Met	MTR_CHEBI:57844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9759218	MTR	CHEBI:57856	AdoHcy	MTR_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-MMU-9759218	MTR	CHEBI:57925	GSH	MTR_CHEBI:57925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:15361	PYR	PGP_CHEBI:15361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:15873	GlcN6P	PGP_CHEBI:15873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:17925	Glc	PGP_CHEBI:17925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:30769	CIT	PGP_CHEBI:30769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:32966	F1,6PP	PGP_CHEBI:32966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:456215	AMP	PGP_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:57540	NAD+	PGP_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:57634	Fru(6)P	PGP_CHEBI:57634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
R-HSA-70171	PGP	CHEBI:58225	G6P	PGP_CHEBI:58225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Reactome
