gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
LIPC	RHEA:38651	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40499	(9Z)-octadecenoate	CHEBI:30823	LIPC_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:40435	hexadecanoate	CHEBI:7896	LIPC_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
LIPC	RHEA:18689	a fatty acid	CHEBI:28868	LIPC_CHEBI:28868	sp|P27656|LIPC_MOUSE	LIPC	protein	10.Hydroxydecanoic.acid	metabolite	-0.3261058993297559	2.155723456986891e-5	163	3.1760137655631134e-4	LIPC_10.Hydroxydecanoic.acid	10-hydroxycaprate	CHEBI:11305	primary	28	CHEBI:28868	22	fatty acid anion	LIPC_10.Hydroxydecanoic.acid_CHEBI:28868	Rhea
LIPC	RHEA:15177	a fatty acid	CHEBI:28868	LIPC_CHEBI:28868	sp|P27656|LIPC_MOUSE	LIPC	protein	10.Hydroxydecanoic.acid	metabolite	-0.3261058993297559	2.155723456986891e-5	163	3.1760137655631134e-4	LIPC_10.Hydroxydecanoic.acid	10-hydroxycaprate	CHEBI:11305	primary	28	CHEBI:28868	22	fatty acid anion	LIPC_10.Hydroxydecanoic.acid_CHEBI:28868	Rhea
LIPC	RHEA:12044	a fatty acid	CHEBI:28868	LIPC_CHEBI:28868	sp|P27656|LIPC_MOUSE	LIPC	protein	10.Hydroxydecanoic.acid	metabolite	-0.3261058993297559	2.155723456986891e-5	163	3.1760137655631134e-4	LIPC_10.Hydroxydecanoic.acid	10-hydroxycaprate	CHEBI:11305	primary	28	CHEBI:28868	22	fatty acid anion	LIPC_10.Hydroxydecanoic.acid_CHEBI:28868	Rhea
PGP	RHEA:66372	sn-glycerol 3-phosphate	CHEBI:57597	PGP_CHEBI:57597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SMCHD1	RHEA:13065	ADP	CHEBI:456216	SMCHD1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50044	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:64988	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:49980	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50016	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:49976	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67464	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67468	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67472	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50036	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67524	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67532	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67536	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67540	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67544	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:67528	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50032	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50028	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NUDT19	RHEA:50024	adenosine 3',5'-bisphosphate	CHEBI:58343	NUDT19_CHEBI:58343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AKT1	RHEA:17989	ADP	CHEBI:456216	AKT1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AKT1	RHEA:46608	ADP	CHEBI:456216	AKT1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACVR1	RHEA:44880	ADP	CHEBI:456216	ACVR1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57260	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57268	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57256	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57244	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:49552	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:49548	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:49556	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57300	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PARK7	RHEA:57288	lactate	CHEBI:24996	PARK7_CHEBI:24996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PRKCE	RHEA:17989	ADP	CHEBI:456216	PRKCE_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
PRKCE	RHEA:46608	ADP	CHEBI:456216	PRKCE_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
MAPK3	RHEA:17989	ADP	CHEBI:456216	MAPK3_CHEBI:456216	sp|Q63844|MK03_MOUSE	MAPK3	protein	Adenosine 5'-diphosphate sodium salt	metabolite	-0.25153186479181244	0.00120006469887878	163	0.00873005093495751	MAPK3_Adenosine 5'-diphosphate sodium salt	ADP(3−)	CHEBI:456216	primary	21	CHEBI:456216	21	ADP(3-)	MAPK3_Adenosine 5'-diphosphate sodium salt_CHEBI:456216	Rhea
MAPK3	RHEA:46608	ADP	CHEBI:456216	MAPK3_CHEBI:456216	sp|Q63844|MK03_MOUSE	MAPK3	protein	Adenosine 5'-diphosphate sodium salt	metabolite	-0.25153186479181244	0.00120006469887878	163	0.00873005093495751	MAPK3_Adenosine 5'-diphosphate sodium salt	ADP(3−)	CHEBI:456216	primary	21	CHEBI:456216	21	ADP(3-)	MAPK3_Adenosine 5'-diphosphate sodium salt_CHEBI:456216	Rhea
AGPS	RHEA:36171	a long-chain fatty acid	CHEBI:57560	AGPS_CHEBI:57560	sp|Q8C0I1|ADAS_MOUSE	AGPS	protein	Myristic acid	metabolite	-0.20360267843707217	0.00913970802734409	163	0.04352733303124424	AGPS_Myristic acid	tetradecanoate	CHEBI:30807	primary	30	CHEBI:57560	23	long-chain fatty acid anion	AGPS_Myristic acid_CHEBI:57560	Rhea
AGPS	RHEA:40659	hexadecanoate	CHEBI:7896	AGPS_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
AGPS	RHEA:40727	a long-chain fatty acid	CHEBI:57560	AGPS_CHEBI:57560	sp|Q8C0I1|ADAS_MOUSE	AGPS	protein	Myristic acid	metabolite	-0.20360267843707217	0.00913970802734409	163	0.04352733303124424	AGPS_Myristic acid	tetradecanoate	CHEBI:30807	primary	30	CHEBI:57560	23	long-chain fatty acid anion	AGPS_Myristic acid_CHEBI:57560	Rhea
AGPS	RHEA:40727	hexadecanoate	CHEBI:7896	AGPS_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SGK1	RHEA:17989	ADP	CHEBI:456216	SGK1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SGK1	RHEA:46608	ADP	CHEBI:456216	SGK1_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:19129	thymidine	CHEBI:17748	TK2_CHEBI:17748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:19129	ADP	CHEBI:456216	TK2_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:46040	2'-deoxycytidine	CHEBI:15698	TK2_CHEBI:15698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:46040	ADP	CHEBI:456216	TK2_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:28206	2'-deoxyuridine	CHEBI:16450	TK2_CHEBI:16450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TK2	RHEA:28206	ADP	CHEBI:456216	TK2_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
DDX39A	RHEA:13065	ADP	CHEBI:456216	DDX39A_CHEBI:456216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT7	RHEA:16645	hexadecanoate	CHEBI:7896	ACOT7_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT7	RHEA:30135	dodecanoate	CHEBI:18262	ACOT7_CHEBI:18262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT7	RHEA:40139	(9Z)-octadecenoate	CHEBI:30823	ACOT7_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT7	RHEA:40119	tetradecanoate	CHEBI:30807	ACOT7_CHEBI:30807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT7	RHEA:30139	octadecanoate	CHEBI:25629	ACOT7_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
